gay/lesbian,gender,prej1,prej2,prej3,prej4,prej5,prej6,prej7,prej8,prej9,prej10,age,maritalstatus,religion,socialstatus,sexuality,sexualinvo,attraction,prejtotal
0,0,2,3,4,4,5,3,3,1,5,5,21,1,1,3,1,2,1,4
0,0,3,3,3,1,5,2,3,3,2,2,31,1,1,2,1,2,1,3
0,1,1,1,1,1,1,1,1,1,1,1,19,1,1,2,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,2,30,1,4,2,1,2,2,1
0,0,1,1,1,2,1,1,1,1,1,1,23,1,1,1,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,18,1,4,1,1,2,1,1
0,1,1,1,1,2,2,1,1,1,1,1,20,1,1,2,1,2,1,1
0,0,3,3,3,3,2,3,3,3,3,3,22,1,1,2,1,2,1,3
0,0,1,1,1,2,3,1,1,1,1,1,18,1,1,3,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,18,1,1,4,1,2,,1
0,0,1,1,1,1,1,1,1,1,1,1,23,1,4,2,1,2,2,1
0,0,3,2,2,2,3,1,1,1,3,4,17,1,2,3,1,2,1,2
0,1,1,1,1,1,1,1,1,1,1,1,19,1,5,2,1,1,,1
0,0,3,3,3,2,2,1,3,3,3,2,23,3,1,2,1,2,7,3
0,0,1,1,1,1,1,1,1,1,1,1,20,1,4,3,1,2,1,1
0,0,1,2,1,2,3,2,1,1,2,3,19,1,1,2,1,2,,2
0,1,1,1,1,1,1,1,1,1,1,1,26,1,4,1,1,2,1,1
0,1,1,1,1,1,2,1,1,1,2,1,28,1,1,3,1,2,1,1
0,0,3,2,3,1,4,3,3,3,3,4,22,1,2,3,1,2,1,3
0,0,1,1,1,2,3,1,1,1,1,2,18,1,1,4,1,2,,1
0,0,1,1,1,1,1,1,1,1,1,1,23,1,1,4,1,1,,1
0,1,1,1,1,1,1,1,1,1,1,1,18,1,2,2,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,23,1,3,2,1,2,1,1
0,0,1,1,1,1,2,1,1,1,1,1,20,1,5,2,1,2,,1
0,1,1,1,1,2,3,1,1,1,1,2,19,1,1,2,1,2,1,1
0,0,3,2,3,2,4,3,3,3,3,2,18,1,1,2,1,2,7,3
0,0,3,3,4,2,5,4,3,3,4,4,26,2,1,2,1,2,1,4
0,1,1,1,1,1,1,1,1,1,1,1,17,1,1,2,1,2,1,1
0,0,1,1,1,1,2,2,1,1,2,2,27,1,4,2,1,1,2,1
0,0,1,1,1,1,2,2,1,1,1,1,19,1,1,4,1,2,2,1
0,0,3,3,3,3,3,3,3,3,3,3,31,2,5,2,1,2,1,3
0,0,1,1,1,1,1,1,1,1,1,2,18,1,4,4,1,2,2,1
0,1,1,1,1,2,2,1,1,1,1,1,35,2,1,3,1,2,1,1
0,0,3,3,3,3,4,3,3,3,2,2,18,1,1,3,1,2,1,3
0,0,1,1,1,2,2,1,1,1,1,2,19,1,1,3,1,2,1,1
0,0,2,1,1,2,3,1,1,1,1,3,19,1,1,3,1,2,1,2
0,1,1,1,1,2,2,1,1,1,2,2,19,1,2,3,1,2,1,1
0,1,1,1,1,1,3,2,1,1,1,1,17,1,2,2,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,18,1,2,2,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,2,22,1,1,2,1,2,1,1
0,0,1,4,1,3,4,2,1,1,3,3,21,2,1,3,1,1,,2
0,0,1,1,1,2,3,1,1,1,3,3,20,1,1,4,1,2,1,2
0,1,1,1,1,2,1,1,1,1,1,1,30,1,2,1,1,1,7,1
0,0,1,1,1,2,1,1,1,1,1,1,22,1,5,3,1,2,1,1
0,1,1,1,1,1,2,1,1,1,1,1,21,1,2,1,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,21,1,5,2,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,19,1,4,3,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,20,1,1,2,1,2,,1
0,0,1,1,2,1,2,1,1,1,1,2,18,1,1,3,1,2,,1
0,0,1,3,2,4,4,2,1,1,2,3,18,1,1,4,1,2,,2
0,0,1,1,1,3,1,1,1,1,1,1,45,4,3,3,1,2,7,1
0,1,1,2,2,5,1,1,1,1,2,1,18,1,1,2,1,2,1,2
0,0,1,1,1,1,1,1,1,1,1,1,23,1,1,3,1,2,2,1
0,0,1,1,1,1,1,1,1,1,1,1,20,1,4,3,1,2,,1
0,0,1,2,1,4,1,1,1,1,1,1,20,1,1,4,1,2,2,1
0,0,1,1,1,1,1,1,1,1,1,1,31,1,3,3,1,2,6,1
0,0,1,1,1,1,1,1,1,1,1,1,28,2,1,2,1,2,7,1
0,0,1,1,1,1,1,1,1,1,1,1,28,4,4,2,1,2,1,1
0,0,1,1,1,2,2,1,1,1,1,1,21,1,3,3,1,2,,1
0,1,1,1,1,1,3,1,1,1,1,1,21,1,1,1,1,1,2,1
0,1,1,1,1,1,2,1,1,1,1,1,19,1,4,1,1,2,2,1
0,1,2,2,2,4,3,2,2,3,4,3,19,1,1,1,1,2,1,3
0,1,1,1,1,1,5,1,1,1,3,1,,1,2,2,1,2,1,2
0,0,1,2,1,1,1,1,1,1,1,2,25,4,1,2,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,21,1,1,2,1,2,1,1
0,1,1,1,2,2,2,2,1,1,2,2,20,1,1,3,1,2,1,2
0,1,1,1,1,1,1,1,1,1,1,1,23,1,1,1,1,2,1,1
0,1,1,1,1,1,2,1,1,1,1,1,25,1,1,2,1,2,1,1
0,1,1,1,1,1,3,2,1,1,2,1,21,1,1,3,1,2,7,1
0,0,1,1,1,1,3,2,1,1,2,2,23,1,4,3,1,2,1,2
0,0,3,3,3,3,3,3,3,3,3,3,22,1,1,3,1,2,1,3
0,0,1,2,1,3,4,3,1,1,3,4,30,2,2,2,1,2,1,2
0,1,1,1,1,1,1,1,1,1,1,1,30,2,4,2,1,2,,1
0,0,1,1,1,1,5,4,1,1,5,1,23,4,5,5,1,2,1,2
0,1,2,2,2,3,2,2,2,2,2,2,23,1,1,3,1,2,1,2
0,1,1,1,1,1,1,1,1,1,1,2,20,1,4,4,1,2,,1
0,1,1,1,1,1,3,2,1,1,2,2,26,4,2,1,1,2,,2
0,1,1,1,1,1,1,1,1,1,1,1,26,1,4,5,1,2,1,1
0,1,1,4,1,5,5,1,1,1,3,5,27,1,1,3,1,2,1,3
0,0,1,2,1,4,3,3,1,1,2,3,22,1,1,1,1,2,1,2
0,0,1,1,1,1,1,1,1,1,1,1,26,1,1,3,1,2,2,1
0,0,1,1,1,1,1,1,1,1,1,1,19,1,4,3,1,2,,1
0,0,1,1,1,2,3,1,1,2,1,2,18,4,1,3,1,2,2,2
0,0,3,2,3,2,4,2,3,3,3,4,17,1,3,2,1,2,1,3
0,0,1,1,1,1,3,1,1,1,3,3,43,2,3,2,1,2,1,2
0,0,1,1,1,1,2,1,1,1,1,1,22,1,4,2,1,1,,1
0,1,1,1,1,1,1,1,1,1,1,1,21,1,4,5,1,2,2,1
0,1,1,1,1,1,3,1,1,1,2,1,22,1,1,3,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,28,1,4,3,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,20,1,4,3,1,2,2,1
0,1,1,1,1,1,1,1,1,1,1,1,25,1,1,3,1,2,2,1
0,1,3,3,3,3,3,3,3,3,3,3,42,2,4,2,1,2,1,3
0,0,1,1,1,1,1,1,1,1,1,2,18,1,1,1,1,2,1,1
0,1,1,1,1,2,2,2,1,1,1,2,52,2,2,3,1,2,2,1
0,1,1,1,1,2,1,1,1,1,1,1,23,1,4,2,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,28,1,4,1,1,2,1,1
0,0,3,3,3,3,3,3,3,3,3,3,32,1,1,2,1,2,1,3
0,1,1,1,1,2,2,2,1,1,1,1,32,1,1,2,1,2,2,1
0,1,1,1,1,1,1,1,1,1,1,1,23,1,4,2,1,1,2,1
0,1,1,1,1,1,1,1,1,1,1,1,21,1,4,3,1,2,2,1
0,0,1,2,1,3,4,3,1,1,2,3,18,1,1,1,1,2,1,2
0,1,1,1,1,1,2,1,1,1,1,1,26,1,2,3,1,2,1,1
0,1,3,2,3,2,5,3,3,3,3,3,38,1,1,4,1,2,1,3
0,1,1,1,1,1,2,2,1,1,1,2,23,1,1,1,1,2,1,1
0,1,1,1,1,1,3,1,1,1,1,1,22,1,4,4,1,2,1,1
0,1,1,1,1,1,2,1,1,1,2,1,32,1,4,3,1,2,1,1
0,1,1,1,1,2,2,1,1,1,2,2,24,1,4,1,1,2,1,1
0,1,1,1,1,1,2,1,1,1,2,2,18,1,4,2,1,2,2,1
0,1,1,1,1,1,1,1,1,1,1,1,25,1,4,1,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,21,1,4,3,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,27,1,5,2,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,26,1,4,1,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,19,1,4,4,1,2,2,1
0,1,1,1,1,1,1,1,1,1,1,1,36,1,4,3,1,2,,1
0,1,2,3,3,3,4,5,3,3,4,3,26,1,4,4,1,2,1,3
0,1,1,1,1,1,2,1,1,1,1,1,21,1,3,2,1,2,1,1
0,0,3,3,3,3,1,3,3,3,1,5,47,2,1,3,1,2,1,3
1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,2,1,2,1,1
1,0,1,2,1,3,2,2,3,1,1,2,18,1,5,2,1,2,1,2
1,0,1,2,1,1,1,1,1,1,1,2,24,1,4,2,1,2,1,1
1,0,1,3,1,3,4,2,1,1,1,1,22,1,1,3,1,2,2,2
1,1,1,1,1,1,1,1,1,1,1,2,55,4,4,2,1,2,1,1
1,0,1,3,1,2,4,2,1,1,2,3,17,1,1,4,1,2,1,2
1,0,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,2,,1
1,0,1,1,1,3,3,1,1,1,1,1,19,2,1,2,1,2,7,1
1,0,1,1,1,1,1,1,1,1,1,1,21,1,1,2,1,2,1,1
1,1,1,1,1,2,4,1,1,1,1,1,31,1,2,2,1,2,,1
1,0,1,2,1,2,4,1,1,1,1,2,19,1,1,4,1,2,,2
1,0,1,1,1,2,2,1,1,1,1,1,19,1,1,4,1,2,1,1
1,0,3,3,3,3,3,3,3,3,3,3,22,1,1,2,1,2,,3
1,0,1,1,1,1,1,1,1,1,1,1,22,1,4,3,1,2,,1
1,0,1,1,1,1,3,1,1,1,1,3,20,1,1,2,1,2,1,1
1,0,1,1,1,2,2,1,1,1,1,2,21,1,1,2,1,2,1,1
1,0,1,1,1,3,2,1,1,1,2,1,18,1,1,1,1,2,1,1
1,0,1,1,1,1,2,1,1,1,1,1,20,1,5,2,1,2,,1
1,0,1,1,1,1,1,1,1,1,1,1,25,1,4,2,1,2,1,1
1,1,1,1,1,2,3,1,1,1,1,2,21,1,1,3,1,2,1,1
1,0,1,1,1,1,2,1,1,1,1,1,19,1,1,3,1,2,1,1
1,0,3,3,3,4,3,1,1,1,2,2,27,1,1,2,1,2,1,2
1,0,1,1,1,1,3,1,1,1,1,5,19,1,1,4,1,2,1,2
1,1,1,1,1,2,4,1,1,1,3,2,24,1,4,3,1,2,1,2
1,0,1,1,1,1,2,1,1,1,1,1,19,1,1,4,1,2,1,1
1,0,3,3,3,3,3,3,3,3,3,3,30,1,4,2,1,2,1,3
1,1,1,1,1,2,3,1,1,1,1,1,19,1,1,3,1,2,1,1
1,1,3,2,1,3,4,1,1,1,2,2,19,1,2,2,1,2,1,2
1,1,1,2,1,2,2,1,1,1,1,3,21,1,5,2,1,2,1,2
1,0,1,1,1,1,1,1,1,1,1,1,18,2,1,3,1,2,2,1
1,1,2,5,2,5,4,4,2,2,4,3,19,1,2,2,1,2,1,3
1,1,2,4,1,4,5,2,1,1,2,5,18,4,1,1,1,2,1,3
1,0,1,1,1,1,1,1,1,1,1,2,23,1,5,3,1,2,1,1
1,0,1,1,1,1,2,1,2,1,1,1,19,1,1,3,1,2,1,1
1,0,3,3,1,5,5,1,1,1,3,4,19,1,5,3,1,2,1,3
